标签文件,类别,问题,细节
frame1_000266.txt,加钢脚水泥,R2框太小,w=0.032 h=0.127
frame1_000531.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_000532.txt,称重清零,R1静置误标(附近无人),person数=2
frame1_000533.txt,称重清零,R1静置误标(附近无人),person数=2
frame1_000533.txt,称重清零,R4连拍重复,与frame1_000532.txt几乎同框
frame1_000534.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_000534.txt,称重清零,R4连拍重复,与frame1_000533.txt几乎同框
frame1_000535.txt,称重清零,R4连拍重复,与frame1_000534.txt几乎同框
frame1_000536.txt,称重清零,R4连拍重复,与frame1_000535.txt几乎同框
frame1_000537.txt,称重清零,R4连拍重复,与frame1_000536.txt几乎同框
frame1_000538.txt,称重清零,R4连拍重复,与frame1_000537.txt几乎同框
frame1_000539.txt,称重清零,R4连拍重复,与frame1_000538.txt几乎同框
frame1_000540.txt,称重清零,R4连拍重复,与frame1_000539.txt几乎同框
frame1_000541.txt,称重清零,R4连拍重复,与frame1_000540.txt几乎同框
frame1_000542.txt,称重清零,R4连拍重复,与frame1_000541.txt几乎同框
frame1_000543.txt,称重清零,R4连拍重复,与frame1_000542.txt几乎同框
frame1_000544.txt,称重清零,R4连拍重复,与frame1_000543.txt几乎同框
frame1_000545.txt,称重清零,R4连拍重复,与frame1_000544.txt几乎同框
frame1_000546.txt,称重清零,R4连拍重复,与frame1_000545.txt几乎同框
frame1_000549.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000553.txt,舀料,R4连拍重复,与frame1_000552.txt几乎同框
frame1_000571.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000581.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000588.txt,装杯,R4连拍重复,与frame1_000587.txt几乎同框
frame1_000599.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000600.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000601.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000602.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000641.txt,加钢脚水泥,R4连拍重复,与frame1_000640.txt几乎同框
frame1_000645.txt,加钢脚水泥,R4连拍重复,与frame1_000644.txt几乎同框
frame1_000650.txt,加钢脚水泥,R2框太小,w=0.034 h=0.070
frame1_000651.txt,加钢脚水泥,R2框太小,w=0.034 h=0.094
frame1_000850.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_000851.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_000852.txt,称重清零,R4连拍重复,与frame1_000851.txt几乎同框
frame1_000853.txt,称重清零,R4连拍重复,与frame1_000852.txt几乎同框
frame1_000854.txt,称重清零,R4连拍重复,与frame1_000853.txt几乎同框
frame1_000855.txt,称重清零,R4连拍重复,与frame1_000854.txt几乎同框
frame1_000856.txt,称重清零,R4连拍重复,与frame1_000855.txt几乎同框
frame1_000857.txt,称重清零,R4连拍重复,与frame1_000856.txt几乎同框
frame1_000858.txt,称重清零,R4连拍重复,与frame1_000857.txt几乎同框
frame1_000859.txt,称重清零,R4连拍重复,与frame1_000858.txt几乎同框
frame1_000860.txt,称重清零,R4连拍重复,与frame1_000859.txt几乎同框
frame1_000861.txt,称重清零,R4连拍重复,与frame1_000860.txt几乎同框
frame1_000862.txt,称重清零,R4连拍重复,与frame1_000861.txt几乎同框
frame1_000870.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000871.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000874.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000875.txt,舀料,R1静置误标(附近无人),person数=1
frame1_000876.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000877.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000878.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000887.txt,装杯,R4连拍重复,与frame1_000878.txt几乎同框
frame1_000891.txt,舀料,R4连拍重复,与frame1_000884.txt几乎同框
frame1_000896.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000896.txt,装杯,R4连拍重复,与frame1_000895.txt几乎同框
frame1_000903.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000904.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000905.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000917.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000918.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000919.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000920.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000922.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000923.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000924.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000925.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000926.txt,装杯,R1静置误标(附近无人),person数=1
frame1_000991.txt,加钢脚水泥,R2框太小,w=0.032 h=0.117
frame1_000998.txt,加钢脚水泥,R2框太小,w=0.034 h=0.083
frame1_000999.txt,加钢脚水泥,R2框太小,w=0.035 h=0.076
frame1_001000.txt,加钢脚水泥,R2框太小,w=0.032 h=0.089
frame1_001001.txt,加钢脚水泥,R2框太小,w=0.031 h=0.096
frame1_001002.txt,加钢脚水泥,R2框太小,w=0.032 h=0.091
frame1_001211.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001212.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001212.txt,称重清零,R4连拍重复,与frame1_001211.txt几乎同框
frame1_001213.txt,称重清零,R4连拍重复,与frame1_001212.txt几乎同框
frame1_001214.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001214.txt,称重清零,R4连拍重复,与frame1_001213.txt几乎同框
frame1_001215.txt,称重清零,R4连拍重复,与frame1_001214.txt几乎同框
frame1_001216.txt,称重清零,R4连拍重复,与frame1_001215.txt几乎同框
frame1_001217.txt,称重清零,R4连拍重复,与frame1_001216.txt几乎同框
frame1_001218.txt,称重清零,R4连拍重复,与frame1_001217.txt几乎同框
frame1_001219.txt,称重清零,R4连拍重复,与frame1_001218.txt几乎同框
frame1_001220.txt,称重清零,R4连拍重复,与frame1_001219.txt几乎同框
frame1_001221.txt,称重清零,R4连拍重复,与frame1_001220.txt几乎同框
frame1_001222.txt,称重清零,R4连拍重复,与frame1_001221.txt几乎同框
frame1_001223.txt,称重清零,R4连拍重复,与frame1_001222.txt几乎同框
frame1_001224.txt,称重清零,R4连拍重复,与frame1_001223.txt几乎同框
frame1_001225.txt,称重清零,R4连拍重复,与frame1_001224.txt几乎同框
frame1_001226.txt,称重清零,R4连拍重复,与frame1_001225.txt几乎同框
frame1_001230.txt,舀料,R1静置误标(附近无人),person数=2
frame1_001231.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001232.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001233.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001238.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001243.txt,装杯,R1静置误标(附近无人),person数=1
frame1_001254.txt,装杯,R1静置误标(附近无人),person数=1
frame1_001255.txt,装杯,R1静置误标(附近无人),person数=1
frame1_001276.txt,装杯,R1静置误标(附近无人),person数=1
frame1_001277.txt,装杯,R1静置误标(附近无人),person数=1
frame1_001278.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001279.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001280.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001281.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001290.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001291.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001293.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001294.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001294.txt,装杯,R4连拍重复,与frame1_001293.txt几乎同框
frame1_001295.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001297.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001298.txt,装杯,R1静置误标(附近无人),person数=2
frame1_001341.txt,加钢脚水泥,R2框太小,w=0.034 h=0.095
frame1_001342.txt,加钢脚水泥,R2框太小,w=0.032 h=0.095
frame1_001345.txt,加钢脚水泥,R2框太小,w=0.031 h=0.086
frame1_001347.txt,加钢脚水泥,R2框太小,w=0.033 h=0.099
frame1_001348.txt,加钢脚水泥,R2框太小,w=0.033 h=0.096
frame1_001348.txt,加钢脚水泥,R4连拍重复,与frame1_001347.txt几乎同框
frame1_001349.txt,加钢脚水泥,R2框太小,w=0.031 h=0.085
frame1_001350.txt,加钢脚水泥,R2框太小,w=0.029 h=0.085
frame1_001351.txt,加钢脚水泥,R2框太小,w=0.030 h=0.092
frame1_001352.txt,加钢脚水泥,R2框太小,w=0.027 h=0.086
frame1_001353.txt,加钢脚水泥,R2框太小,w=0.028 h=0.092
frame1_001354.txt,加钢脚水泥,R2框太小,w=0.034 h=0.093
frame1_001355.txt,加钢脚水泥,R2框太小,w=0.030 h=0.089
frame1_001356.txt,加钢脚水泥,R2框太小,w=0.031 h=0.095
frame1_001358.txt,加钢脚水泥,R2框太小,w=0.032 h=0.099
frame1_001359.txt,加钢脚水泥,R2框太小,w=0.032 h=0.098
frame1_001359.txt,加钢脚水泥,R4连拍重复,与frame1_001358.txt几乎同框
frame1_001643.txt,称重清零,R4连拍重复,与frame1_001226.txt几乎同框
frame1_001644.txt,称重清零,R4连拍重复,与frame1_001643.txt几乎同框
frame1_001646.txt,称重清零,R4连拍重复,与frame1_001645.txt几乎同框
frame1_001647.txt,称重清零,R4连拍重复,与frame1_001646.txt几乎同框
frame1_001648.txt,称重清零,R4连拍重复,与frame1_001647.txt几乎同框
frame1_001649.txt,称重清零,R4连拍重复,与frame1_001648.txt几乎同框
frame1_001650.txt,称重清零,R4连拍重复,与frame1_001649.txt几乎同框
frame1_001651.txt,称重清零,R4连拍重复,与frame1_001650.txt几乎同框
frame1_001652.txt,称重清零,R4连拍重复,与frame1_001651.txt几乎同框
frame1_001653.txt,称重清零,R4连拍重复,与frame1_001652.txt几乎同框
frame1_001655.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001655.txt,称重清零,R4连拍重复,与frame1_001654.txt几乎同框
frame1_001656.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001656.txt,称重清零,R4连拍重复,与frame1_001655.txt几乎同框
frame1_001657.txt,称重清零,R4连拍重复,与frame1_001656.txt几乎同框
frame1_001658.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001658.txt,称重清零,R4连拍重复,与frame1_001657.txt几乎同框
frame1_001659.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001659.txt,称重清零,R4连拍重复,与frame1_001658.txt几乎同框
frame1_001660.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001660.txt,称重清零,R4连拍重复,与frame1_001659.txt几乎同框
frame1_001661.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001661.txt,称重清零,R4连拍重复,与frame1_001660.txt几乎同框
frame1_001661.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001662.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001663.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001663.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001664.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_001664.txt,称重清零,R4连拍重复,与frame1_001663.txt几乎同框
frame1_001664.txt,舀料,R1静置误标(附近无人),person数=1
frame1_001666.txt,称重清零,R4连拍重复,与frame1_001664.txt几乎同框
frame1_001667.txt,称重清零,R4连拍重复,与frame1_001666.txt几乎同框
frame1_001667.txt,舀料,R4连拍重复,与frame1_001666.txt几乎同框
frame1_001668.txt,称重清零,R4连拍重复,与frame1_001667.txt几乎同框
frame1_001685.txt,舀料,R4连拍重复,与frame1_001684.txt几乎同框
frame1_001777.txt,加钢脚水泥,R2框太小,w=0.035 h=0.091
frame1_001779.txt,加钢脚水泥,R2框太小,w=0.035 h=0.091
frame1_001781.txt,加钢脚水泥,R2框太小,w=0.033 h=0.090
frame1_001782.txt,加钢脚水泥,R2框太小,w=0.030 h=0.086
frame1_001783.txt,加钢脚水泥,R2框太小,w=0.031 h=0.110
frame1_001784.txt,加钢脚水泥,R2框太小,w=0.031 h=0.095
frame1_001785.txt,加钢脚水泥,R2框太小,w=0.032 h=0.085
frame1_001786.txt,加钢脚水泥,R2框太小,w=0.033 h=0.086
frame1_001787.txt,加钢脚水泥,R2框太小,w=0.034 h=0.076
frame1_001788.txt,加钢脚水泥,R2框太小,w=0.034 h=0.092
frame1_001789.txt,加钢脚水泥,R2框太小,w=0.029 h=0.080
frame1_001791.txt,加钢脚水泥,R2框太小,w=0.034 h=0.099
frame1_001792.txt,加钢脚水泥,R2框太小,w=0.034 h=0.088
frame1_002017.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002017.txt,称重清零,R4连拍重复,与frame1_002016.txt几乎同框
frame1_002018.txt,称重清零,R4连拍重复,与frame1_002017.txt几乎同框
frame1_002019.txt,称重清零,R4连拍重复,与frame1_002018.txt几乎同框
frame1_002020.txt,称重清零,R4连拍重复,与frame1_002019.txt几乎同框
frame1_002023.txt,称重清零,R4连拍重复,与frame1_002022.txt几乎同框
frame1_002025.txt,称重清零,R4连拍重复,与frame1_002024.txt几乎同框
frame1_002026.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002027.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002027.txt,称重清零,R4连拍重复,与frame1_002026.txt几乎同框
frame1_002028.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002028.txt,称重清零,R4连拍重复,与frame1_002027.txt几乎同框
frame1_002029.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002029.txt,称重清零,R4连拍重复,与frame1_002028.txt几乎同框
frame1_002030.txt,称重清零,R4连拍重复,与frame1_002029.txt几乎同框
frame1_002031.txt,称重清零,R4连拍重复,与frame1_002030.txt几乎同框
frame1_002046.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002047.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002059.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002060.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002063.txt,舀料,R1静置误标(附近无人),person数=1
frame1_002077.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002078.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002079.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002080.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002086.txt,装杯,R1静置误标(附近无人),person数=1
frame1_002128.txt,加钢脚水泥,R2框太小,w=0.033 h=0.076
frame1_002129.txt,加钢脚水泥,R2框太小,w=0.034 h=0.088
frame1_002131.txt,加钢脚水泥,R2框太小,w=0.031 h=0.090
frame1_002132.txt,加钢脚水泥,R2框太小,w=0.032 h=0.092
frame1_002132.txt,加钢脚水泥,R4连拍重复,与frame1_002131.txt几乎同框
frame1_002328.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002329.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002329.txt,称重清零,R4连拍重复,与frame1_002328.txt几乎同框
frame1_002330.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002330.txt,称重清零,R4连拍重复,与frame1_002329.txt几乎同框
frame1_002331.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002331.txt,称重清零,R4连拍重复,与frame1_002330.txt几乎同框
frame1_002332.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002332.txt,称重清零,R4连拍重复,与frame1_002331.txt几乎同框
frame1_002333.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002334.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002334.txt,称重清零,R4连拍重复,与frame1_002333.txt几乎同框
frame1_002335.txt,称重清零,R4连拍重复,与frame1_002334.txt几乎同框
frame1_002338.txt,称重清零,R4连拍重复,与frame1_002337.txt几乎同框
frame1_002339.txt,称重清零,R4连拍重复,与frame1_002338.txt几乎同框
frame1_002359.txt,装杯,R1静置误标(附近无人),person数=0
frame1_002395.txt,舀料,R1静置误标(附近无人),person数=1
frame1_002450.txt,加钢脚水泥,R2框太小,w=0.034 h=0.102
frame1_002452.txt,加钢脚水泥,R4连拍重复,与frame1_002451.txt几乎同框
frame1_002453.txt,加钢脚水泥,R2框太小,w=0.034 h=0.106
frame1_002454.txt,加钢脚水泥,R2框太小,w=0.031 h=0.095
frame1_002455.txt,加钢脚水泥,R2框太小,w=0.033 h=0.095
frame1_002456.txt,加钢脚水泥,R2框太小,w=0.028 h=0.088
frame1_002457.txt,加钢脚水泥,R2框太小,w=0.032 h=0.072
frame1_002458.txt,加钢脚水泥,R2框太小,w=0.030 h=0.080
frame1_002459.txt,加钢脚水泥,R2框太小,w=0.033 h=0.089
frame1_002655.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002656.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002657.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002657.txt,称重清零,R4连拍重复,与frame1_002656.txt几乎同框
frame1_002658.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002658.txt,称重清零,R4连拍重复,与frame1_002657.txt几乎同框
frame1_002659.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002659.txt,称重清零,R4连拍重复,与frame1_002658.txt几乎同框
frame1_002660.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002660.txt,称重清零,R4连拍重复,与frame1_002659.txt几乎同框
frame1_002661.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002661.txt,称重清零,R4连拍重复,与frame1_002660.txt几乎同框
frame1_002662.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002662.txt,称重清零,R4连拍重复,与frame1_002661.txt几乎同框
frame1_002663.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002663.txt,称重清零,R4连拍重复,与frame1_002662.txt几乎同框
frame1_002664.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_002664.txt,称重清零,R4连拍重复,与frame1_002663.txt几乎同框
frame1_002665.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002665.txt,称重清零,R4连拍重复,与frame1_002664.txt几乎同框
frame1_002666.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002666.txt,称重清零,R4连拍重复,与frame1_002665.txt几乎同框
frame1_002667.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002668.txt,称重清零,R1静置误标(附近无人),person数=0
frame1_002668.txt,称重清零,R4连拍重复,与frame1_002667.txt几乎同框
frame1_002669.txt,称重清零,R4连拍重复,与frame1_002668.txt几乎同框
frame1_002675.txt,舀料,R1静置误标(附近无人),person数=0
frame1_002813.txt,加钢脚水泥,R2框太小,w=0.034 h=0.119
frame1_002814.txt,加钢脚水泥,R2框太小,w=0.034 h=0.112
frame1_003126.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_003127.txt,称重清零,R1静置误标(附近无人),person数=2
frame1_003128.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_003129.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_003129.txt,称重清零,R4连拍重复,与frame1_003128.txt几乎同框
frame1_003130.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_003130.txt,称重清零,R4连拍重复,与frame1_003129.txt几乎同框
frame1_003211.txt,装杯,R4连拍重复,与frame1_003210.txt几乎同框
frame1_003256.txt,加钢脚水泥,R2框太小,w=0.035 h=0.081
frame1_003257.txt,加钢脚水泥,R2框太小,w=0.035 h=0.085
frame1_003258.txt,加钢脚水泥,R2框太小,w=0.033 h=0.084
frame1_003261.txt,加钢脚水泥,R2框太小,w=0.034 h=0.087
frame1_003261.txt,加钢脚水泥,R4连拍重复,与frame1_003260.txt几乎同框
frame1_003264.txt,加钢脚水泥,R2框太小,w=0.034 h=0.086
frame1_003696.txt,装杯,R1静置误标(附近无人),person数=1
frame1_003751.txt,加钢脚水泥,R2框太小,w=0.032 h=0.101
frame1_003752.txt,加钢脚水泥,R2框太小,w=0.032 h=0.114
frame1_003753.txt,加钢脚水泥,R2框太小,w=0.030 h=0.106
frame1_003754.txt,加钢脚水泥,R2框太小,w=0.030 h=0.107
frame1_003755.txt,加钢脚水泥,R2框太小,w=0.033 h=0.115
frame1_003991.txt,称重清零,R4连拍重复,与frame1_003990.txt几乎同框
frame1_003992.txt,称重清零,R4连拍重复,与frame1_003991.txt几乎同框
frame1_003993.txt,称重清零,R4连拍重复,与frame1_003992.txt几乎同框
frame1_003994.txt,称重清零,R4连拍重复,与frame1_003993.txt几乎同框
frame1_003995.txt,称重清零,R4连拍重复,与frame1_003994.txt几乎同框
frame1_003996.txt,称重清零,R4连拍重复,与frame1_003995.txt几乎同框
frame1_003997.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_003997.txt,称重清零,R4连拍重复,与frame1_003996.txt几乎同框
frame1_003998.txt,称重清零,R4连拍重复,与frame1_003997.txt几乎同框
frame1_003999.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_003999.txt,称重清零,R4连拍重复,与frame1_003998.txt几乎同框
frame1_004000.txt,称重清零,R1静置误标(附近无人),person数=1
frame1_004000.txt,称重清零,R4连拍重复,与frame1_003999.txt几乎同框
frame1_004001.txt,称重清零,R4连拍重复,与frame1_004000.txt几乎同框
frame1_004012.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004013.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004014.txt,舀料,R1静置误标(附近无人),person数=0
frame1_004015.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004017.txt,装杯,R1静置误标(附近无人),person数=1
frame1_004018.txt,装杯,R1静置误标(附近无人),person数=1
frame1_004019.txt,装杯,R1静置误标(附近无人),person数=2
frame1_004020.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004021.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004024.txt,装杯,R1静置误标(附近无人),person数=1
frame1_004025.txt,装杯,R1静置误标(附近无人),person数=1
frame1_004026.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004027.txt,舀料,R1静置误标(附近无人),person数=1
frame1_004110.txt,加钢脚水泥,R2框太小,w=0.032 h=0.115
frame1_004111.txt,加钢脚水泥,R2框太小,w=0.031 h=0.103
frame1_004112.txt,加钢脚水泥,R2框太小,w=0.034 h=0.110
frame1_004113.txt,加钢脚水泥,R2框太小,w=0.030 h=0.098
frame1_004114.txt,加钢脚水泥,R2框太小,w=0.032 h=0.096
frame1_004115.txt,加钢脚水泥,R2框太小,w=0.029 h=0.088
frame1_004340.txt,称重清零,R4连拍重复,与frame1_004339.txt几乎同框
frame1_004341.txt,称重清零,R4连拍重复,与frame1_004340.txt几乎同框
frame1_004342.txt,称重清零,R4连拍重复,与frame1_004341.txt几乎同框
frame1_004343.txt,称重清零,R4连拍重复,与frame1_004342.txt几乎同框
frame1_004344.txt,称重清零,R4连拍重复,与frame1_004343.txt几乎同框
frame1_004345.txt,称重清零,R4连拍重复,与frame1_004344.txt几乎同框
frame1_004346.txt,称重清零,R4连拍重复,与frame1_004345.txt几乎同框
frame1_004347.txt,称重清零,R4连拍重复,与frame1_004346.txt几乎同框
frame1_004348.txt,称重清零,R4连拍重复,与frame1_004347.txt几乎同框
frame1_004349.txt,称重清零,R4连拍重复,与frame1_004348.txt几乎同框
frame1_004350.txt,称重清零,R4连拍重复,与frame1_004349.txt几乎同框
frame1_004368.txt,装杯,R1静置误标(附近无人),person数=0
frame1_004460.txt,加钢脚水泥,R2框太小,w=0.033 h=0.112
frame1_004874.txt,称重清零,R4连拍重复,与frame1_004350.txt几乎同框
frame1_004875.txt,称重清零,R4连拍重复,与frame1_004874.txt几乎同框
